iter	Accuracy	Logloss
0	0.7811447811	0.6720711548
1	0.8097643098	0.6463860935
2	0.8164983165	0.623759341
3	0.8265993266	0.5992009232
4	0.8249158249	0.583806679
5	0.8232323232	0.5657633432
6	0.8148148148	0.5578353855
7	0.8131313131	0.550662225
8	0.803030303	0.5435737858
9	0.803030303	0.5307026291
10	0.8013468013	0.521672256
11	0.8013468013	0.5139485909
12	0.8013468013	0.5055173032
13	0.8063973064	0.4949325821
14	0.8047138047	0.4867774629
15	0.8047138047	0.4786936657
16	0.8080808081	0.4720550383
17	0.8097643098	0.4634099427
18	0.8080808081	0.4582065627
19	0.8181818182	0.4521604758
20	0.8232323232	0.4469539887
21	0.8232323232	0.4390721504
22	0.8282828283	0.4342098424
23	0.82996633	0.4293527241
24	0.835016835	0.4266924866
25	0.8383838384	0.42487794
26	0.8400673401	0.419853516
27	0.8383838384	0.4143580474
28	0.8400673401	0.4112131449
29	0.8400673401	0.4104752991
30	0.8417508418	0.4074925479
31	0.8417508418	0.4030065434
32	0.8417508418	0.4004471996
33	0.8417508418	0.3992125943
34	0.8484848485	0.3958431189
35	0.8468013468	0.3928102939
36	0.8451178451	0.3911166273
37	0.8501683502	0.3883363969
38	0.8501683502	0.3868909516
39	0.8484848485	0.3861533058
40	0.8501683502	0.383607026
41	0.8518518519	0.3820014465
42	0.8535353535	0.3791267304
43	0.8569023569	0.376120638
44	0.8552188552	0.374072191
45	0.8552188552	0.3713104356
46	0.8552188552	0.3701269399
47	0.8585858586	0.3679452708
48	0.8585858586	0.367767597
49	0.8602693603	0.3655599302
50	0.8585858586	0.3650822002
51	0.8602693603	0.3642574923
52	0.8602693603	0.3633584754
53	0.861952862	0.3619266325
54	0.861952862	0.36191216
55	0.861952862	0.360644912
56	0.861952862	0.3597121483
57	0.8636363636	0.3577630634
58	0.8636363636	0.3560395727
59	0.867003367	0.3538835047
60	0.8703703704	0.353224157
61	0.8720538721	0.3504330982
62	0.8720538721	0.3504276462
63	0.8737373737	0.3498018517
64	0.8737373737	0.3497674205
65	0.8737373737	0.3485816901
66	0.8737373737	0.3474761921
67	0.8754208754	0.3465867501
68	0.8754208754	0.3459680537
69	0.8771043771	0.344326116
70	0.8771043771	0.3434757025
71	0.8771043771	0.343320271
72	0.8771043771	0.3421727648
73	0.8771043771	0.3413092913
74	0.8771043771	0.3398030313
75	0.8787878788	0.3385500754
76	0.8787878788	0.3360777608
77	0.8787878788	0.3353340955
78	0.8787878788	0.3353152462
79	0.8771043771	0.334669887
80	0.8771043771	0.3339119477
81	0.8771043771	0.3327513014
82	0.8787878788	0.3310731107
83	0.8787878788	0.3302788202
84	0.8787878788	0.3302784122
85	0.8804713805	0.3290309584
86	0.8821548822	0.3280451499
87	0.8821548822	0.3269158847
88	0.8838383838	0.3259782908
89	0.8838383838	0.3254252893
90	0.8855218855	0.3245054935
91	0.8855218855	0.3234388384
92	0.8905723906	0.3192589211
93	0.8872053872	0.3190563727
94	0.8872053872	0.3177870188
95	0.8905723906	0.3172513381
96	0.8888888889	0.3166572034
97	0.8888888889	0.3158566897
98	0.8905723906	0.3152685667
99	0.8939393939	0.3146639622
100	0.8939393939	0.3135571793
101	0.8939393939	0.3131429635
102	0.8922558923	0.3125027116
103	0.8922558923	0.3117748579
104	0.8922558923	0.3117748468
105	0.8905723906	0.3110743749
