iter	Logloss
0	0.6680661239
1	0.6434805983
2	0.623613061
3	0.6054272623
4	0.5875686206
5	0.5728916475
6	0.560539846
7	0.5480291686
8	0.5373599971
9	0.5282958068
10	0.5187907958
11	0.5098004977
12	0.5015599676
13	0.4931909607
14	0.4868882512
15	0.4802584186
16	0.4737285014
17	0.4684534295
18	0.4630783901
19	0.4588926322
20	0.4551385951
21	0.4518682175
22	0.4500364982
23	0.4469936623
24	0.44405695
25	0.4424506145
26	0.4398095147
27	0.437976532
28	0.4364588327
29	0.4347848766
30	0.4321950973
31	0.4309002022
32	0.4290023802
33	0.4274360242
34	0.4262054555
35	0.4244683662
36	0.4224253447
37	0.420667287
38	0.4196381142
39	0.4187555456
40	0.417792299
41	0.4166971674
42	0.4157595482
43	0.414475292
44	0.4129346033
45	0.4122214979
46	0.4109135218
47	0.4098734862
48	0.4088653603
49	0.4075719182
50	0.4069496346
51	0.4060599007
52	0.4047825725
53	0.4043455275
54	0.4039255411
55	0.4036032965
56	0.4029024225
57	0.4020952943
58	0.4015204933
59	0.4000604027
60	0.3994279347
61	0.3990964471
62	0.3987655349
63	0.3981615458
64	0.3977092807
65	0.397055834
66	0.39654573
67	0.3960656465
68	0.395570877
69	0.3950021535
70	0.3940863392
71	0.3938584222
72	0.3927356968
73	0.3917979797
74	0.3913713102
75	0.3912088296
76	0.39099386
77	0.3907629622
78	0.3901819565
79	0.3891397491
80	0.3889414348
81	0.3886939292
82	0.3884921355
83	0.3875848889
84	0.3871943199
85	0.3870252388
86	0.3865734001
87	0.3859222124
88	0.3858280075
89	0.3853507339
90	0.384852619
91	0.384578895
92	0.3825441953
93	0.382477276
94	0.3817647234
95	0.3811850286
96	0.3806951232
97	0.3804764346
98	0.3793477931
99	0.3793375739
