iter	Passed	Remaining
0	7	3961
1	15	3828
2	51	8586
3	58	7259
4	62	6167
5	69	5732
6	75	5304
7	82	5053
8	89	4863
9	93	4585
10	99	4427
11	103	4207
12	109	4105
13	116	4037
14	123	3978
15	129	3920
16	135	3849
17	142	3814
18	148	3758
19	154	3697
20	159	3649
21	165	3589
22	170	3527
23	177	3518
24	181	3456
25	184	3370
26	191	3348
27	197	3325
28	202	3289
29	214	3356
30	219	3325
31	225	3305
32	228	3232
33	230	3155
34	236	3146
35	242	3123
36	250	3131
37	254	3091
38	263	3120
39	270	3106
40	278	3115
41	283	3095
42	287	3058
43	292	3033
44	299	3028
45	303	2993
46	311	3002
47	315	2966
48	318	2927
49	321	2891
50	327	2881
51	330	2848
52	335	2828
53	337	2783
54	342	2768
55	347	2752
56	350	2727
57	358	2731
58	361	2701
59	364	2670
60	368	2654
61	369	2608
62	373	2594
63	377	2568
64	381	2555
65	389	2559
66	392	2539
67	395	2514
68	401	2506
69	405	2491
70	407	2463
71	412	2452
72	415	2429
73	418	2407
74	423	2400
75	427	2382
76	433	2382
77	439	2378
78	442	2356
79	447	2350
80	451	2334
81	456	2325
82	460	2315
83	463	2295
84	464	2266
85	468	2254
86	473	2245
87	477	2235
88	480	2219
89	485	2211
90	490	2203
91	494	2193
92	496	2174
93	501	2166
94	503	2146
95	508	2140
96	512	2129
97	516	2118
98	523	2120
99	526	2106
100	530	2094
101	534	2087
102	539	2077
103	541	2062
104	546	2055
105	551	2050
106	553	2034
107	555	2016
108	559	2007
109	562	1994
110	568	1992
111	572	1983
112	576	1974
113	579	1962
114	585	1958
115	587	1945
116	591	1936
117	594	1923
118	601	1925
119	604	1914
120	605	1895
121	609	1888
122	612	1877
123	615	1866
124	619	1857
125	621	1845
126	624	1834
127	627	1825
128	632	1819
129	636	1812
130	640	1805
131	643	1793
132	645	1781
133	649	1774
134	652	1764
135	654	1752
136	657	1742
137	661	1734
138	667	1732
139	670	1723
140	673	1715
141	677	1707
142	683	1706
143	687	1698
144	690	1690
145	693	1682
146	698	1677
147	702	1669
148	705	1662
149	709	1656
150	711	1645
151	714	1636
152	717	1627
153	723	1625
154	731	1627
155	733	1617
156	736	1609
157	740	1603
158	743	1594
159	748	1591
160	752	1584
161	755	1576
162	756	1564
163	765	1567
164	768	1560
165	773	1556
166	778	1551
167	784	1551
168	789	1545
169	792	1538
170	797	1535
171	801	1528
172	806	1523
173	811	1521
174	815	1515
175	819	1509
176	825	1507
177	831	1504
178	835	1499
179	841	1495
180	847	1492
181	851	1488
182	854	1480
183	857	1471
184	863	1470
185	867	1465
186	870	1457
187	873	1450
188	880	1448
189	882	1440
190	885	1433
191	889	1426
192	895	1425
193	898	1417
194	903	1412
195	905	1404
196	910	1400
197	913	1393
198	916	1386
199	919	1379
200	923	1373
201	927	1368
202	931	1363
203	934	1356
204	938	1350
205	944	1348
206	948	1342
207	951	1335
208	956	1332
209	962	1329
210	968	1325
211	973	1322
212	978	1318
213	981	1312
214	987	1308
215	1004	1320
216	1012	1320
217	1015	1313
218	1019	1307
219	1023	1303
220	1027	1296
221	1030	1290
222	1034	1284
223	1036	1276
224	1039	1271
225	1041	1263
226	1044	1256
227	1048	1251
228	1051	1244
229	1057	1241
230	1063	1238
231	1067	1233
232	1072	1229
233	1076	1223
234	1080	1218
235	1083	1212
236	1092	1212
237	1096	1207
238	1099	1200
239	1104	1196
240	1107	1189
241	1110	1184
