iter	Passed	Remaining
0	7	3593
1	11	2834
2	17	2865
3	21	2661
4	27	2702
5	31	2625
6	36	2535
7	39	2410
8	44	2405
9	50	2452
10	51	2277
11	54	2222
12	59	2224
13	63	2199
14	67	2178
15	68	2087
16	72	2067
17	76	2045
18	82	2085
19	85	2056
20	89	2034
21	92	2013
22	97	2031
23	100	1994
24	101	1929
25	106	1933
26	109	1912
27	113	1905
28	117	1910
29	121	1909
30	124	1886
31	129	1894
32	133	1891
33	137	1891
34	141	1881
35	146	1889
36	148	1856
37	150	1826
38	152	1798
39	156	1802
40	161	1810
41	165	1807
42	169	1802
43	170	1770
44	174	1768
45	179	1770
46	182	1759
47	183	1726
48	185	1708
49	191	1726
50	196	1734
51	201	1734
52	206	1739
53	209	1731
54	212	1717
55	217	1724
56	224	1745
57	228	1739
58	234	1754
59	237	1743
60	241	1734
61	246	1743
62	252	1753
63	258	1763
64	261	1752
65	264	1742
66	268	1732
67	271	1722
68	274	1714
69	279	1714
70	282	1709
71	286	1701
72	290	1697
73	298	1718
74	300	1704
75	305	1702
76	312	1715
77	317	1717
78	321	1715
79	327	1719
80	329	1705
81	334	1707
82	337	1694
83	340	1684
84	345	1685
85	349	1681
86	352	1674
87	355	1665
88	360	1665
89	365	1664
90	369	1660
91	373	1654
92	379	1659
93	382	1651
94	387	1652
95	392	1651
96	394	1640
97	398	1633
98	401	1627
99	405	1620
100	410	1621
101	412	1610
102	416	1604
103	419	1598
104	425	1601
105	428	1594
106	433	1590
107	438	1590
108	443	1589
109	446	1584
110	451	1583
111	456	1582
112	460	1576
113	462	1566
114	465	1558
115	468	1549
116	477	1563
117	484	1567
118	490	1571
119	493	1562
120	495	1550
121	502	1556
122	509	1561
123	514	1560
124	519	1557
125	525	1560
126	526	1546
127	533	1550
128	539	1551
129	541	1541
130	543	1530
131	546	1523
132	549	1516
133	554	1514
134	558	1509
135	563	1508
136	568	1505
137	574	1506
138	576	1496
139	579	1489
140	582	1482
141	586	1478
142	590	1473
143	593	1467
144	596	1459
145	599	1454
146	604	1451
147	607	1445
148	609	1434
149	611	1426
150	614	1421
151	620	1421
152	627	1423
153	632	1422
154	638	1421
155	645	1423
156	648	1416
157	653	1415
158	658	1412
159	662	1408
160	666	1402
161	671	1400
162	674	1394
163	679	1392
164	682	1386
165	687	1383
166	691	1378
167	698	1380
168	704	1380
169	709	1376
170	711	1368
171	714	1362
172	720	1362
173	724	1357
174	727	1350
175	733	1350
176	738	1347
177	742	1343
178	745	1337
179	750	1334
180	754	1328
181	759	1326
182	762	1321
183	767	1317
184	770	1312
185	775	1309
186	780	1306
187	785	1303
188	788	1296
189	791	1291
190	795	1286
191	800	1284
192	804	1279
193	808	1275
194	812	1270
195	816	1266
196	820	1262
197	824	1258
198	831	1258
199	837	1255
200	839	1248
201	841	1242
202	846	1237
203	850	1233
204	853	1228
205	856	1223
206	859	1216
207	863	1212
208	867	1208
209	871	1203
210	876	1200
211	882	1199
212	886	1195
213	890	1189
214	894	1185
215	902	1187
216	907	1184
217	913	1181
218	919	1179
219	923	1175
220	930	1174
221	937	1174
222	946	1175
223	953	1175
224	956	1169
225	962	1166
226	968	1164
227	974	1162
228	981	1161
229	987	1158
230	990	1153
231	995	1149
232	1001	1147
233	1005	1142
234	1011	1140
235	1014	1134
236	1017	1129
237	1019	1122
238	1023	1117
239	1027	1113
240	1031	1108
241	1034	1102
242	1037	1096
243	1041	1092
244	1046	1089
245	1049	1083
246	1053	1079
