iter	Accuracy	Logloss
0	0.8215488215	0.6622710428
1	0.8265993266	0.6324218929
2	0.8265993266	0.6128606121
3	0.82996633	0.5940460063
4	0.8316498316	0.5733416579
5	0.8265993266	0.5541303884
6	0.8333333333	0.5404091033
7	0.8282828283	0.5216217763
8	0.8265993266	0.5049549489
9	0.8265993266	0.4936833851
10	0.8265993266	0.4882040115
11	0.8265993266	0.4774358638
12	0.8265993266	0.4684567671
13	0.82996633	0.4593509992
14	0.82996633	0.4529125153
15	0.8282828283	0.4498651901
16	0.8265993266	0.4434235558
17	0.8265993266	0.4352477892
18	0.8249158249	0.4311129683
19	0.8249158249	0.4248176211
20	0.8282828283	0.4179802079
21	0.8282828283	0.4129599694
22	0.82996633	0.4089828788
23	0.82996633	0.4039661031
24	0.835016835	0.4031067424
25	0.8400673401	0.3978831556
26	0.8383838384	0.3945806284
27	0.8434343434	0.3925109485
28	0.8417508418	0.3893298987
29	0.8451178451	0.3856195567
30	0.8468013468	0.3799898899
31	0.8501683502	0.3758178075
32	0.8501683502	0.3730464684
33	0.8518518519	0.3704479554
34	0.8535353535	0.369092761
35	0.8552188552	0.3673970973
36	0.8552188552	0.3661670658
37	0.8552188552	0.3636407205
38	0.8569023569	0.3627866021
39	0.8535353535	0.3605982499
40	0.8569023569	0.358882456
41	0.8569023569	0.357532743
42	0.8569023569	0.3554976491
43	0.8569023569	0.3554686728
44	0.8602693603	0.3531492856
45	0.8653198653	0.3512686655
46	0.8653198653	0.3494692982
47	0.8653198653	0.3493777488
48	0.867003367	0.3481076064
49	0.8686868687	0.3471974599
50	0.867003367	0.3457459783
51	0.867003367	0.3450427323
52	0.867003367	0.3438672856
53	0.8686868687	0.3423788201
54	0.8686868687	0.3423607019
55	0.867003367	0.3418208022
56	0.867003367	0.339860395
57	0.8686868687	0.3391123783
58	0.8686868687	0.3362702995
59	0.8720538721	0.3353321088
60	0.8737373737	0.3336583553
61	0.8754208754	0.331912952
62	0.8771043771	0.3299424273
63	0.8771043771	0.3273858431
64	0.8771043771	0.3272432674
65	0.8771043771	0.326231015
66	0.8754208754	0.3258522537
67	0.8787878788	0.3237023101
68	0.8787878788	0.322168795
69	0.8771043771	0.3215238548
70	0.8771043771	0.3213664323
71	0.8754208754	0.3207513548
72	0.8787878788	0.3196656843
73	0.8771043771	0.3189302279
74	0.8737373737	0.3184351245
75	0.8754208754	0.3165327115
76	0.8771043771	0.3141416986
77	0.8771043771	0.3132330039
78	0.8771043771	0.3124826865
79	0.8787878788	0.3108695498
80	0.8787878788	0.3104285662
81	0.8804713805	0.3093829986
82	0.8804713805	0.3089531276
83	0.8804713805	0.3084282769
84	0.8821548822	0.3076781977
85	0.8804713805	0.3069656663
86	0.8872053872	0.3053492449
87	0.8855218855	0.3035392354
88	0.8888888889	0.3022354494
89	0.8872053872	0.3009751908
90	0.8855218855	0.2997796986
91	0.8872053872	0.2986137631
92	0.8855218855	0.2980038104
93	0.8855218855	0.2978718586
94	0.8855218855	0.297298553
95	0.8872053872	0.2961496562
96	0.8872053872	0.2961097411
97	0.8855218855	0.2947136694
98	0.8855218855	0.2939066491
99	0.8855218855	0.2936102478
100	0.8855218855	0.2922125035
101	0.8855218855	0.2911747789
102	0.8855218855	0.2901267449
103	0.8872053872	0.2893165465
104	0.8888888889	0.2888644098
105	0.8888888889	0.2871433727
106	0.8905723906	0.2859097191
107	0.8905723906	0.2853420033
108	0.8905723906	0.2836420466
109	0.8888888889	0.283032883
110	0.8888888889	0.281876596
111	0.8888888889	0.2809229577
112	0.8905723906	0.2807111247
113	0.8905723906	0.2795505534
114	0.8905723906	0.2788052311
115	0.8905723906	0.2784434204
116	0.8922558923	0.2779978053
117	0.8922558923	0.2767452868
118	0.8922558923	0.2755907593
119	0.8922558923	0.2755903591
120	0.8922558923	0.2755902931
121	0.8922558923	0.2749313842
122	0.8939393939	0.2743622576
123	0.8922558923	0.273150118
124	0.8922558923	0.2723083287
125	0.8939393939	0.2706990549
126	0.8939393939	0.2706984885
127	0.8939393939	0.2695141554
128	0.8956228956	0.2686642201
129	0.8956228956	0.2686119439
130	0.8956228956	0.2685323368
131	0.8956228956	0.2681544458
132	0.8973063973	0.2659169053
133	0.8973063973	0.2654913608
134	0.898989899	0.2646074841
135	0.898989899	0.2641387764
136	0.8973063973	0.2638724136
137	0.898989899	0.2625215431
138	0.898989899	0.2624354117
139	0.898989899	0.2614919775
140	0.898989899	0.2611412264
141	0.9006734007	0.2599565072
142	0.9006734007	0.2585807512
143	0.9006734007	0.2572145632
144	0.898989899	0.256892837
145	0.898989899	0.256657619
146	0.9006734007	0.2559679571
147	0.9006734007	0.2554904907
148	0.9006734007	0.2554296278
149	0.9023569024	0.2552472076
150	0.9057239057	0.2545214015
151	0.9057239057	0.2532304629
152	0.9074074074	0.2523584493
153	0.9074074074	0.2515669736
154	0.9090909091	0.2496412398
155	0.9107744108	0.2492610639
156	0.9124579125	0.2488767632
157	0.9124579125	0.2485301393
158	0.9141414141	0.2482859709
159	0.9124579125	0.2477186285
160	0.9124579125	0.247030647
161	0.9158249158	0.2461120632
162	0.9158249158	0.2448925698
163	0.9191919192	0.2430384133
164	0.9158249158	0.2426746904
165	0.9158249158	0.2423733086
166	0.9191919192	0.2414521011
167	0.9191919192	0.2411096901
168	0.9175084175	0.2404855605
169	0.9208754209	0.2393588909
170	0.9208754209	0.2393133328
171	0.9208754209	0.2389233452
172	0.9175084175	0.2370697973
173	0.9191919192	0.2356138814
174	0.9208754209	0.2349622161
175	0.9208754209	0.2335704959
176	0.9208754209	0.2333529112
177	0.9191919192	0.2326867257
178	0.9191919192	0.2315784261
179	0.9208754209	0.2306594953
180	0.9208754209	0.2303057968
181	0.9225589226	0.2292484331
182	0.9225589226	0.2284775958
183	0.9259259259	0.2276805558
184	0.9259259259	0.227168889
185	0.9259259259	0.2271125556
186	0.9242424242	0.2265505605
187	0.9242424242	0.2259759233
188	0.9242424242	0.2251966793
189	0.9242424242	0.223913682
190	0.9276094276	0.2231067045
191	0.9276094276	0.2227299497
192	0.9276094276	0.2223213005
193	0.9276094276	0.2210947676
194	0.9276094276	0.2208977285
195	0.9292929293	0.2196481917
196	0.9292929293	0.2190162491
197	0.9292929293	0.2184871532
198	0.9292929293	0.2180572173
199	0.9292929293	0.2168080492
200	0.9326599327	0.2156886953
201	0.9326599327	0.2146092221
202	0.9343434343	0.2140595635
203	0.9377104377	0.2132862279
204	0.9377104377	0.2131600976
205	0.9377104377	0.2127338379
206	0.9393939394	0.2121289935
207	0.9393939394	0.2107662729
208	0.9393939394	0.2104195202
209	0.9393939394	0.2098670326
210	0.9393939394	0.2089056418
211	0.9393939394	0.207940011
212	0.9377104377	0.2074627884
213	0.9393939394	0.2070960082
214	0.9377104377	0.2065387943
215	0.9393939394	0.2050850114
216	0.9393939394	0.2041081103
217	0.9410774411	0.2031597178
218	0.9410774411	0.201811947
219	0.9427609428	0.2013448248
220	0.9427609428	0.2007089371
221	0.9427609428	0.1998421386
222	0.9427609428	0.19951339
223	0.9427609428	0.1983088642
224	0.9444444444	0.1976198024
225	0.9444444444	0.1968582576
226	0.9444444444	0.1961051096
227	0.9427609428	0.1954951921
228	0.9427609428	0.1947237316
229	0.9444444444	0.194043451
230	0.9461279461	0.1931273547
231	0.9461279461	0.1924444695
232	0.9461279461	0.1917822871
233	0.9461279461	0.1910543312
234	0.9461279461	0.1907757207
235	0.9461279461	0.190556715
236	0.9461279461	0.1895782898
237	0.9478114478	0.1891052468
238	0.9478114478	0.1885971036
239	0.9478114478	0.188428452
240	0.9461279461	0.1879216148
241	0.9478114478	0.1875192155
242	0.9478114478	0.1870614514
243	0.9478114478	0.1868945155
244	0.9478114478	0.1866080601
245	0.9478114478	0.1859517111
246	0.9478114478	0.1856134928
247	0.9494949495	0.1849483238
248	0.9528619529	0.1846908784
249	0.9528619529	0.1844943032
250	0.9528619529	0.1842843618
251	0.9528619529	0.184212451
252	0.9528619529	0.1840325658
253	0.9528619529	0.183419148
254	0.9528619529	0.1829184564
255	0.9528619529	0.1817084178
256	0.9528619529	0.1813568737
257	0.9528619529	0.1807939464
258	0.9528619529	0.1801392319
259	0.9545454545	0.1798542811
260	0.9545454545	0.1795496574
261	0.9528619529	0.1790605016
262	0.9528619529	0.1782648085
263	0.9528619529	0.1781843188
264	0.9528619529	0.1779086963
265	0.9528619529	0.1773283603
266	0.9545454545	0.1769751217
267	0.9545454545	0.1761564474
268	0.9545454545	0.1755324697
269	0.9545454545	0.174967164
270	0.9545454545	0.1744410136
271	0.9528619529	0.1734185565
272	0.9562289562	0.173112461
273	0.9545454545	0.1726919936
274	0.9545454545	0.1721741488
275	0.9562289562	0.1716281789
276	0.9562289562	0.1705549179
277	0.9562289562	0.170407212
278	0.9562289562	0.1697701189
279	0.9562289562	0.1692900778
280	0.9579124579	0.1689124812
281	0.9562289562	0.1686031408
282	0.9579124579	0.1680189839
283	0.9579124579	0.1676439209
284	0.9579124579	0.1671319492
285	0.9579124579	0.1665492864
286	0.9595959596	0.1661792573
287	0.9612794613	0.1654586355
288	0.962962963	0.1647114328
289	0.962962963	0.1641188939
290	0.962962963	0.1636674279
291	0.962962963	0.1630883323
292	0.962962963	0.1629605455
293	0.962962963	0.1622373263
294	0.962962963	0.1617609208
295	0.9646464646	0.1616092123
296	0.9646464646	0.1611415335
297	0.962962963	0.1605573554
298	0.962962963	0.1604339025
299	0.9646464646	0.1598914057
300	0.9646464646	0.1596582821
301	0.9646464646	0.1588824592
302	0.9646464646	0.1586053246
303	0.9646464646	0.1582710975
304	0.9646464646	0.1581012528
305	0.9663299663	0.1576398463
306	0.9663299663	0.1569184847
307	0.9663299663	0.1565622234
308	0.9663299663	0.1562339434
309	0.9663299663	0.1559214223
310	0.9663299663	0.1557789254
311	0.9663299663	0.1553189467
312	0.9663299663	0.1550606412
313	0.9663299663	0.1546401228
314	0.9663299663	0.1542984821
315	0.9663299663	0.1541644603
316	0.9663299663	0.1534447922
317	0.9663299663	0.1528891209
318	0.9663299663	0.1522663823
319	0.9663299663	0.1516154435
320	0.9663299663	0.1511142101
321	0.968013468	0.1508516572
322	0.9663299663	0.1505049489
323	0.968013468	0.150228781
324	0.9663299663	0.149933177
325	0.9663299663	0.1497976682
326	0.9663299663	0.1495870472
327	0.9663299663	0.1494712797
328	0.9663299663	0.1491356245
329	0.9663299663	0.1488679549
330	0.9663299663	0.1485258387
331	0.968013468	0.147980273
332	0.9663299663	0.1475566489
333	0.9663299663	0.1472402128
334	0.9663299663	0.1469669411
335	0.9663299663	0.1466449308
336	0.9663299663	0.1460717578
337	0.9663299663	0.1454587979
338	0.9663299663	0.144906005
339	0.9663299663	0.1445288467
340	0.9663299663	0.1444355416
341	0.9663299663	0.1438956283
342	0.968013468	0.1436733606
343	0.9696969697	0.1426768357
344	0.9696969697	0.1419679289
345	0.9696969697	0.141568002
346	0.9696969697	0.1412655859
347	0.9696969697	0.1410561304
348	0.9713804714	0.1404213459
349	0.9713804714	0.1398806443
350	0.9713804714	0.1395653556
351	0.9713804714	0.1390070409
352	0.9713804714	0.1385254515
353	0.9713804714	0.1382838647
354	0.9713804714	0.137942613
355	0.9713804714	0.1377122084
356	0.9713804714	0.1374134855
357	0.9713804714	0.1368893691
358	0.9713804714	0.1367379382
359	0.9713804714	0.1363712461
360	0.9696969697	0.1361423767
361	0.9713804714	0.1359669129
362	0.9713804714	0.1358166955
363	0.9713804714	0.1353628356
364	0.9713804714	0.1348810297
365	0.9713804714	0.1346424831
366	0.9713804714	0.1341725921
367	0.9713804714	0.1340568635
368	0.9713804714	0.133787291
369	0.9713804714	0.133529564
370	0.9713804714	0.1330884425
371	0.9713804714	0.1330203767
372	0.9713804714	0.1327143826
373	0.9713804714	0.1320932171
374	0.9696969697	0.131925313
375	0.9696969697	0.1314580921
376	0.9713804714	0.1311476046
377	0.9696969697	0.1305813958
378	0.9696969697	0.1300914731
379	0.9696969697	0.1298870343
380	0.9696969697	0.1293472247
381	0.9696969697	0.1292337028
382	0.9713804714	0.1289135918
383	0.9713804714	0.128861652
384	0.9696969697	0.1278615379
385	0.9696969697	0.1269976257
386	0.9696969697	0.1265581177
387	0.9713804714	0.1259747993
388	0.9696969697	0.1257812704
389	0.9730639731	0.1254820379
390	0.9747474747	0.1247718113
391	0.9747474747	0.1246053756
392	0.9764309764	0.1240809062
393	0.9764309764	0.1239185714
