iter	Accuracy	Logloss
220	0.9147025814	0.2615322144
221	0.9147025814	0.2610007407
222	0.9147025814	0.2607871162
223	0.9158249158	0.2603582532
224	0.9158249158	0.2599106067
225	0.9147025814	0.2586163155
226	0.9158249158	0.2580255286
227	0.9147025814	0.2578681699
228	0.9158249158	0.2575646736
229	0.9158249158	0.2566504083
230	0.9169472503	0.2554048166
231	0.9169472503	0.2553040711
232	0.9169472503	0.2545343273
233	0.9180695847	0.2534148238
234	0.9203142536	0.2529447024
235	0.9214365881	0.2525990574
236	0.9214365881	0.2521991345
237	0.9214365881	0.2518494702
238	0.9214365881	0.2514282959
239	0.9225589226	0.2505894045
240	0.923681257	0.2496578955
241	0.923681257	0.2494204774
242	0.923681257	0.2492063672
243	0.923681257	0.2485712682
244	0.923681257	0.2473868811
245	0.923681257	0.2468853096
246	0.9259259259	0.2460443416
247	0.9259259259	0.2449871498
248	0.9248035915	0.2448647095
249	0.9248035915	0.2439355641
250	0.9248035915	0.2431795662
251	0.9259259259	0.2425354666
252	0.9259259259	0.2422001519
253	0.9259259259	0.2420649256
254	0.9259259259	0.2411625143
255	0.9259259259	0.2406139742
256	0.9270482604	0.2400734988
257	0.9270482604	0.2397829892
258	0.9270482604	0.2389266782
259	0.9270482604	0.2387579956
260	0.9292929293	0.2383636724
261	0.9304152637	0.2381619422
262	0.9304152637	0.237579798
263	0.9304152637	0.2374570745
264	0.9304152637	0.236925585
265	0.9304152637	0.2365951405
266	0.9304152637	0.2362139962
267	0.9304152637	0.2361587141
268	0.9315375982	0.2357332749
269	0.9315375982	0.2346463462
270	0.9315375982	0.2338814652
271	0.9315375982	0.2331212609
272	0.9315375982	0.2328021717
273	0.9315375982	0.2325286658
274	0.9315375982	0.2323341452
275	0.9315375982	0.2319723456
276	0.9315375982	0.2314674751
277	0.9315375982	0.2305234165
278	0.9326599327	0.2301609092
279	0.9326599327	0.2300530846
280	0.9326599327	0.2296360335
281	0.9326599327	0.228975779
282	0.9326599327	0.2288240253
283	0.9315375982	0.2280993695
284	0.9315375982	0.2278645769
285	0.9315375982	0.2273390907
286	0.9315375982	0.2265917216
287	0.9315375982	0.2255933504
288	0.9315375982	0.225181966
289	0.9304152637	0.2242362142
290	0.9304152637	0.2241210899
291	0.9304152637	0.2238508798
292	0.9304152637	0.2236230414
293	0.9304152637	0.2229628908
294	0.9304152637	0.2224537339
295	0.9304152637	0.2219739999
296	0.9304152637	0.2211743033
297	0.9304152637	0.2203689443
298	0.9304152637	0.2202480578
299	0.9315375982	0.219999545
300	0.9326599327	0.2194596845
301	0.9326599327	0.2192128946
302	0.9326599327	0.2188893858
303	0.9349046016	0.2176746428
304	0.936026936	0.2172697218
305	0.936026936	0.2171303592
306	0.936026936	0.2170725977
307	0.936026936	0.2165204717
308	0.936026936	0.2160368356
309	0.936026936	0.2159305634
310	0.936026936	0.2148246678
311	0.936026936	0.2147685468
312	0.936026936	0.2144347344
313	0.936026936	0.2142232801
314	0.9349046016	0.213774754
315	0.9349046016	0.2136405026
316	0.9349046016	0.2134114351
317	0.9349046016	0.2129149513
318	0.9349046016	0.2124977342
319	0.936026936	0.2121558209
320	0.936026936	0.2119613145
321	0.9371492705	0.2115293797
